Urn,AnalyticalClass,Label
urn:cite:morph:form.cv12532,conjverb,conjugated verb: 2nd plural pluperfect imperative passive
urn:cite:morph:form.cv20000,conjverb,conjugated verb: 3rd singular present indicative active
urn:cite:morph:form.cv20001,conjverb,conjugated verb: 3rd singular present indicative middle
urn:cite:morph:form.cv20002,conjverb,conjugated verb: 3rd singular present indicative passive
urn:cite:morph:form.cv20010,conjverb,conjugated verb: 3rd singular present subjunctive active
urn:cite:morph:form.cv20011,conjverb,conjugated verb: 3rd singular present subjunctive middle
urn:cite:morph:form.cv20012,conjverb,conjugated verb: 3rd singular present subjunctive passive
urn:cite:morph:form.cv20020,conjverb,conjugated verb: 3rd singular present optative active
urn:cite:morph:form.cv20021,conjverb,conjugated verb: 3rd singular present optative middle
urn:cite:morph:form.cv20022,conjverb,conjugated verb: 3rd singular present optative passive
urn:cite:morph:form.cv20030,conjverb,conjugated verb: 3rd singular present imperative active
urn:cite:morph:form.cv20031,conjverb,conjugated verb: 3rd singular present imperative middle
urn:cite:morph:form.cv20032,conjverb,conjugated verb: 3rd singular present imperative passive
urn:cite:morph:form.cv20100,conjverb,conjugated verb: 3rd singular imperfect indicative active
urn:cite:morph:form.cv20101,conjverb,conjugated verb: 3rd singular imperfect indicative middle
urn:cite:morph:form.cv20102,conjverb,conjugated verb: 3rd singular imperfect indicative passive
urn:cite:morph:form.cv20110,conjverb,conjugated verb: 3rd singular imperfect subjunctive active
urn:cite:morph:form.cv20111,conjverb,conjugated verb: 3rd singular imperfect subjunctive middle
urn:cite:morph:form.cv20112,conjverb,conjugated verb: 3rd singular imperfect subjunctive passive
urn:cite:morph:form.cv20120,conjverb,conjugated verb: 3rd singular imperfect optative active
urn:cite:morph:form.cv20121,conjverb,conjugated verb: 3rd singular imperfect optative middle
urn:cite:morph:form.cv20122,conjverb,conjugated verb: 3rd singular imperfect optative passive
urn:cite:morph:form.cv20130,conjverb,conjugated verb: 3rd singular imperfect imperative active
urn:cite:morph:form.cv20131,conjverb,conjugated verb: 3rd singular imperfect imperative middle
urn:cite:morph:form.cv20132,conjverb,conjugated verb: 3rd singular imperfect imperative passive
urn:cite:morph:form.cv20200,conjverb,conjugated verb: 3rd singular future indicative active
urn:cite:morph:form.cv20201,conjverb,conjugated verb: 3rd singular future indicative middle
urn:cite:morph:form.cv20202,conjverb,conjugated verb: 3rd singular future indicative passive
urn:cite:morph:form.cv20210,conjverb,conjugated verb: 3rd singular future subjunctive active
urn:cite:morph:form.cv20211,conjverb,conjugated verb: 3rd singular future subjunctive middle
urn:cite:morph:form.cv20212,conjverb,conjugated verb: 3rd singular future subjunctive passive
urn:cite:morph:form.cv20220,conjverb,conjugated verb: 3rd singular future optative active
urn:cite:morph:form.cv20221,conjverb,conjugated verb: 3rd singular future optative middle
urn:cite:morph:form.cv20222,conjverb,conjugated verb: 3rd singular future optative passive
urn:cite:morph:form.cv20230,conjverb,conjugated verb: 3rd singular future imperative active
urn:cite:morph:form.cv20231,conjverb,conjugated verb: 3rd singular future imperative middle
urn:cite:morph:form.cv20232,conjverb,conjugated verb: 3rd singular future imperative passive
urn:cite:morph:form.cv20300,conjverb,conjugated verb: 3rd singular aorist indicative active
urn:cite:morph:form.cv20301,conjverb,conjugated verb: 3rd singular aorist indicative middle
urn:cite:morph:form.cv20302,conjverb,conjugated verb: 3rd singular aorist indicative passive
urn:cite:morph:form.cv20310,conjverb,conjugated verb: 3rd singular aorist subjunctive active
urn:cite:morph:form.cv20311,conjverb,conjugated verb: 3rd singular aorist subjunctive middle
urn:cite:morph:form.cv20312,conjverb,conjugated verb: 3rd singular aorist subjunctive passive
urn:cite:morph:form.cv20320,conjverb,conjugated verb: 3rd singular aorist optative active
urn:cite:morph:form.cv20321,conjverb,conjugated verb: 3rd singular aorist optative middle
urn:cite:morph:form.cv20322,conjverb,conjugated verb: 3rd singular aorist optative passive
urn:cite:morph:form.cv20330,conjverb,conjugated verb: 3rd singular aorist imperative active
urn:cite:morph:form.cv20331,conjverb,conjugated verb: 3rd singular aorist imperative middle
urn:cite:morph:form.cv20332,conjverb,conjugated verb: 3rd singular aorist imperative passive
urn:cite:morph:form.cv20400,conjverb,conjugated verb: 3rd singular perfect indicative active
urn:cite:morph:form.cv20401,conjverb,conjugated verb: 3rd singular perfect indicative middle
urn:cite:morph:form.cv20402,conjverb,conjugated verb: 3rd singular perfect indicative passive
urn:cite:morph:form.cv20410,conjverb,conjugated verb: 3rd singular perfect subjunctive active
urn:cite:morph:form.cv20411,conjverb,conjugated verb: 3rd singular perfect subjunctive middle
urn:cite:morph:form.cv20412,conjverb,conjugated verb: 3rd singular perfect subjunctive passive
urn:cite:morph:form.cv20420,conjverb,conjugated verb: 3rd singular perfect optative active
urn:cite:morph:form.cv20421,conjverb,conjugated verb: 3rd singular perfect optative middle
urn:cite:morph:form.cv20422,conjverb,conjugated verb: 3rd singular perfect optative passive
urn:cite:morph:form.cv20430,conjverb,conjugated verb: 3rd singular perfect imperative active
urn:cite:morph:form.cv20431,conjverb,conjugated verb: 3rd singular perfect imperative middle
urn:cite:morph:form.cv20432,conjverb,conjugated verb: 3rd singular perfect imperative passive
urn:cite:morph:form.cv20500,conjverb,conjugated verb: 3rd singular pluperfect indicative active
urn:cite:morph:form.cv20501,conjverb,conjugated verb: 3rd singular pluperfect indicative middle
urn:cite:morph:form.cv20502,conjverb,conjugated verb: 3rd singular pluperfect indicative passive
urn:cite:morph:form.cv20510,conjverb,conjugated verb: 3rd singular pluperfect subjunctive active
urn:cite:morph:form.cv20511,conjverb,conjugated verb: 3rd singular pluperfect subjunctive middle
urn:cite:morph:form.cv20512,conjverb,conjugated verb: 3rd singular pluperfect subjunctive passive
urn:cite:morph:form.cv20520,conjverb,conjugated verb: 3rd singular pluperfect optative active
urn:cite:morph:form.cv20521,conjverb,conjugated verb: 3rd singular pluperfect optative middle
urn:cite:morph:form.cv20522,conjverb,conjugated verb: 3rd singular pluperfect optative passive
urn:cite:morph:form.cv20530,conjverb,conjugated verb: 3rd singular pluperfect imperative active
urn:cite:morph:form.cv20531,conjverb,conjugated verb: 3rd singular pluperfect imperative middle
urn:cite:morph:form.cv20532,conjverb,conjugated verb: 3rd singular pluperfect imperative passive
urn:cite:morph:form.cv21000,conjverb,conjugated verb: 3rd dual present indicative active
urn:cite:morph:form.cv21001,conjverb,conjugated verb: 3rd dual present indicative middle
urn:cite:morph:form.cv21002,conjverb,conjugated verb: 3rd dual present indicative passive
urn:cite:morph:form.cv21010,conjverb,conjugated verb: 3rd dual present subjunctive active
urn:cite:morph:form.cv21011,conjverb,conjugated verb: 3rd dual present subjunctive middle
urn:cite:morph:form.cv21012,conjverb,conjugated verb: 3rd dual present subjunctive passive
urn:cite:morph:form.cv21020,conjverb,conjugated verb: 3rd dual present optative active
urn:cite:morph:form.cv21021,conjverb,conjugated verb: 3rd dual present optative middle
urn:cite:morph:form.cv21022,conjverb,conjugated verb: 3rd dual present optative passive
urn:cite:morph:form.cv21030,conjverb,conjugated verb: 3rd dual present imperative active
urn:cite:morph:form.cv21031,conjverb,conjugated verb: 3rd dual present imperative middle
urn:cite:morph:form.cv21032,conjverb,conjugated verb: 3rd dual present imperative passive
urn:cite:morph:form.cv21100,conjverb,conjugated verb: 3rd dual imperfect indicative active
urn:cite:morph:form.cv21101,conjverb,conjugated verb: 3rd dual imperfect indicative middle
urn:cite:morph:form.cv21102,conjverb,conjugated verb: 3rd dual imperfect indicative passive
urn:cite:morph:form.cv21110,conjverb,conjugated verb: 3rd dual imperfect subjunctive active
urn:cite:morph:form.cv21111,conjverb,conjugated verb: 3rd dual imperfect subjunctive middle
urn:cite:morph:form.cv21112,conjverb,conjugated verb: 3rd dual imperfect subjunctive passive
urn:cite:morph:form.cv21120,conjverb,conjugated verb: 3rd dual imperfect optative active
urn:cite:morph:form.cv21121,conjverb,conjugated verb: 3rd dual imperfect optative middle
urn:cite:morph:form.cv21122,conjverb,conjugated verb: 3rd dual imperfect optative passive
urn:cite:morph:form.cv21130,conjverb,conjugated verb: 3rd dual imperfect imperative active
urn:cite:morph:form.cv21131,conjverb,conjugated verb: 3rd dual imperfect imperative middle
urn:cite:morph:form.cv21132,conjverb,conjugated verb: 3rd dual imperfect imperative passive
urn:cite:morph:form.cv21200,conjverb,conjugated verb: 3rd dual future indicative active
urn:cite:morph:form.cv21201,conjverb,conjugated verb: 3rd dual future indicative middle
urn:cite:morph:form.cv21202,conjverb,conjugated verb: 3rd dual future indicative passive
urn:cite:morph:form.cv21210,conjverb,conjugated verb: 3rd dual future subjunctive active
urn:cite:morph:form.cv21211,conjverb,conjugated verb: 3rd dual future subjunctive middle
urn:cite:morph:form.cv21212,conjverb,conjugated verb: 3rd dual future subjunctive passive
urn:cite:morph:form.cv21220,conjverb,conjugated verb: 3rd dual future optative active
urn:cite:morph:form.cv21221,conjverb,conjugated verb: 3rd dual future optative middle
urn:cite:morph:form.cv21222,conjverb,conjugated verb: 3rd dual future optative passive
urn:cite:morph:form.cv21230,conjverb,conjugated verb: 3rd dual future imperative active
urn:cite:morph:form.cv21231,conjverb,conjugated verb: 3rd dual future imperative middle
urn:cite:morph:form.cv21232,conjverb,conjugated verb: 3rd dual future imperative passive
urn:cite:morph:form.cv21300,conjverb,conjugated verb: 3rd dual aorist indicative active
urn:cite:morph:form.cv21301,conjverb,conjugated verb: 3rd dual aorist indicative middle
urn:cite:morph:form.cv21302,conjverb,conjugated verb: 3rd dual aorist indicative passive
urn:cite:morph:form.cv21310,conjverb,conjugated verb: 3rd dual aorist subjunctive active
urn:cite:morph:form.cv21311,conjverb,conjugated verb: 3rd dual aorist subjunctive middle
urn:cite:morph:form.cv21312,conjverb,conjugated verb: 3rd dual aorist subjunctive passive
urn:cite:morph:form.cv21320,conjverb,conjugated verb: 3rd dual aorist optative active
urn:cite:morph:form.cv21321,conjverb,conjugated verb: 3rd dual aorist optative middle
urn:cite:morph:form.cv21322,conjverb,conjugated verb: 3rd dual aorist optative passive
urn:cite:morph:form.cv21330,conjverb,conjugated verb: 3rd dual aorist imperative active
urn:cite:morph:form.cv21331,conjverb,conjugated verb: 3rd dual aorist imperative middle
urn:cite:morph:form.cv21332,conjverb,conjugated verb: 3rd dual aorist imperative passive
urn:cite:morph:form.cv21400,conjverb,conjugated verb: 3rd dual perfect indicative active
urn:cite:morph:form.cv21401,conjverb,conjugated verb: 3rd dual perfect indicative middle
urn:cite:morph:form.cv21402,conjverb,conjugated verb: 3rd dual perfect indicative passive
urn:cite:morph:form.cv21410,conjverb,conjugated verb: 3rd dual perfect subjunctive active
urn:cite:morph:form.cv21411,conjverb,conjugated verb: 3rd dual perfect subjunctive middle
urn:cite:morph:form.cv21412,conjverb,conjugated verb: 3rd dual perfect subjunctive passive
urn:cite:morph:form.cv21420,conjverb,conjugated verb: 3rd dual perfect optative active
urn:cite:morph:form.cv21421,conjverb,conjugated verb: 3rd dual perfect optative middle
urn:cite:morph:form.cv21422,conjverb,conjugated verb: 3rd dual perfect optative passive
urn:cite:morph:form.cv21430,conjverb,conjugated verb: 3rd dual perfect imperative active
urn:cite:morph:form.cv21431,conjverb,conjugated verb: 3rd dual perfect imperative middle
urn:cite:morph:form.cv21432,conjverb,conjugated verb: 3rd dual perfect imperative passive
urn:cite:morph:form.cv21500,conjverb,conjugated verb: 3rd dual pluperfect indicative active
urn:cite:morph:form.cv21501,conjverb,conjugated verb: 3rd dual pluperfect indicative middle
urn:cite:morph:form.cv21502,conjverb,conjugated verb: 3rd dual pluperfect indicative passive
urn:cite:morph:form.cv21510,conjverb,conjugated verb: 3rd dual pluperfect subjunctive active
urn:cite:morph:form.cv21511,conjverb,conjugated verb: 3rd dual pluperfect subjunctive middle
urn:cite:morph:form.cv21512,conjverb,conjugated verb: 3rd dual pluperfect subjunctive passive
urn:cite:morph:form.cv21520,conjverb,conjugated verb: 3rd dual pluperfect optative active
urn:cite:morph:form.cv21521,conjverb,conjugated verb: 3rd dual pluperfect optative middle
urn:cite:morph:form.cv21522,conjverb,conjugated verb: 3rd dual pluperfect optative passive
urn:cite:morph:form.cv21530,conjverb,conjugated verb: 3rd dual pluperfect imperative active
urn:cite:morph:form.cv21531,conjverb,conjugated verb: 3rd dual pluperfect imperative middle
urn:cite:morph:form.cv21532,conjverb,conjugated verb: 3rd dual pluperfect imperative passive
urn:cite:morph:form.cv22000,conjverb,conjugated verb: 3rd plural present indicative active
urn:cite:morph:form.cv22001,conjverb,conjugated verb: 3rd plural present indicative middle
urn:cite:morph:form.cv22002,conjverb,conjugated verb: 3rd plural present indicative passive
urn:cite:morph:form.cv22010,conjverb,conjugated verb: 3rd plural present subjunctive active
urn:cite:morph:form.cv22011,conjverb,conjugated verb: 3rd plural present subjunctive middle
urn:cite:morph:form.cv22012,conjverb,conjugated verb: 3rd plural present subjunctive passive
urn:cite:morph:form.cv22020,conjverb,conjugated verb: 3rd plural present optative active
urn:cite:morph:form.cv22021,conjverb,conjugated verb: 3rd plural present optative middle
urn:cite:morph:form.cv22022,conjverb,conjugated verb: 3rd plural present optative passive
urn:cite:morph:form.cv22030,conjverb,conjugated verb: 3rd plural present imperative active
urn:cite:morph:form.cv22031,conjverb,conjugated verb: 3rd plural present imperative middle
urn:cite:morph:form.cv22032,conjverb,conjugated verb: 3rd plural present imperative passive
urn:cite:morph:form.cv22100,conjverb,conjugated verb: 3rd plural imperfect indicative active
urn:cite:morph:form.cv22101,conjverb,conjugated verb: 3rd plural imperfect indicative middle
urn:cite:morph:form.cv22102,conjverb,conjugated verb: 3rd plural imperfect indicative passive
urn:cite:morph:form.cv22110,conjverb,conjugated verb: 3rd plural imperfect subjunctive active
urn:cite:morph:form.cv22111,conjverb,conjugated verb: 3rd plural imperfect subjunctive middle
urn:cite:morph:form.cv22112,conjverb,conjugated verb: 3rd plural imperfect subjunctive passive
urn:cite:morph:form.cv22120,conjverb,conjugated verb: 3rd plural imperfect optative active
urn:cite:morph:form.cv22121,conjverb,conjugated verb: 3rd plural imperfect optative middle
urn:cite:morph:form.cv22122,conjverb,conjugated verb: 3rd plural imperfect optative passive
urn:cite:morph:form.cv22130,conjverb,conjugated verb: 3rd plural imperfect imperative active
urn:cite:morph:form.cv22131,conjverb,conjugated verb: 3rd plural imperfect imperative middle
urn:cite:morph:form.cv22132,conjverb,conjugated verb: 3rd plural imperfect imperative passive
urn:cite:morph:form.cv22200,conjverb,conjugated verb: 3rd plural future indicative active
urn:cite:morph:form.cv22201,conjverb,conjugated verb: 3rd plural future indicative middle
urn:cite:morph:form.cv22202,conjverb,conjugated verb: 3rd plural future indicative passive
urn:cite:morph:form.cv22210,conjverb,conjugated verb: 3rd plural future subjunctive active
urn:cite:morph:form.cv22211,conjverb,conjugated verb: 3rd plural future subjunctive middle
urn:cite:morph:form.cv22212,conjverb,conjugated verb: 3rd plural future subjunctive passive
urn:cite:morph:form.cv22220,conjverb,conjugated verb: 3rd plural future optative active
urn:cite:morph:form.cv22221,conjverb,conjugated verb: 3rd plural future optative middle
urn:cite:morph:form.cv22222,conjverb,conjugated verb: 3rd plural future optative passive
urn:cite:morph:form.cv22230,conjverb,conjugated verb: 3rd plural future imperative active
urn:cite:morph:form.cv22231,conjverb,conjugated verb: 3rd plural future imperative middle
urn:cite:morph:form.cv22232,conjverb,conjugated verb: 3rd plural future imperative passive
urn:cite:morph:form.cv22300,conjverb,conjugated verb: 3rd plural aorist indicative active
urn:cite:morph:form.cv22301,conjverb,conjugated verb: 3rd plural aorist indicative middle
urn:cite:morph:form.cv22302,conjverb,conjugated verb: 3rd plural aorist indicative passive
urn:cite:morph:form.cv22310,conjverb,conjugated verb: 3rd plural aorist subjunctive active
urn:cite:morph:form.cv22311,conjverb,conjugated verb: 3rd plural aorist subjunctive middle
urn:cite:morph:form.cv22312,conjverb,conjugated verb: 3rd plural aorist subjunctive passive
urn:cite:morph:form.cv22320,conjverb,conjugated verb: 3rd plural aorist optative active
urn:cite:morph:form.cv22321,conjverb,conjugated verb: 3rd plural aorist optative middle
urn:cite:morph:form.cv22322,conjverb,conjugated verb: 3rd plural aorist optative passive
urn:cite:morph:form.cv22330,conjverb,conjugated verb: 3rd plural aorist imperative active
urn:cite:morph:form.cv22331,conjverb,conjugated verb: 3rd plural aorist imperative middle
urn:cite:morph:form.cv22332,conjverb,conjugated verb: 3rd plural aorist imperative passive
urn:cite:morph:form.cv22400,conjverb,conjugated verb: 3rd plural perfect indicative active
urn:cite:morph:form.cv22401,conjverb,conjugated verb: 3rd plural perfect indicative middle
urn:cite:morph:form.cv22402,conjverb,conjugated verb: 3rd plural perfect indicative passive
urn:cite:morph:form.cv22410,conjverb,conjugated verb: 3rd plural perfect subjunctive active
urn:cite:morph:form.cv22411,conjverb,conjugated verb: 3rd plural perfect subjunctive middle
urn:cite:morph:form.cv22412,conjverb,conjugated verb: 3rd plural perfect subjunctive passive
urn:cite:morph:form.cv22420,conjverb,conjugated verb: 3rd plural perfect optative active
urn:cite:morph:form.cv22421,conjverb,conjugated verb: 3rd plural perfect optative middle
urn:cite:morph:form.cv22422,conjverb,conjugated verb: 3rd plural perfect optative passive
urn:cite:morph:form.cv22430,conjverb,conjugated verb: 3rd plural perfect imperative active
urn:cite:morph:form.cv22431,conjverb,conjugated verb: 3rd plural perfect imperative middle
urn:cite:morph:form.cv22432,conjverb,conjugated verb: 3rd plural perfect imperative passive
urn:cite:morph:form.cv22500,conjverb,conjugated verb: 3rd plural pluperfect indicative active
urn:cite:morph:form.cv22501,conjverb,conjugated verb: 3rd plural pluperfect indicative middle
urn:cite:morph:form.cv22502,conjverb,conjugated verb: 3rd plural pluperfect indicative passive
urn:cite:morph:form.cv22510,conjverb,conjugated verb: 3rd plural pluperfect subjunctive active
urn:cite:morph:form.cv22511,conjverb,conjugated verb: 3rd plural pluperfect subjunctive middle
urn:cite:morph:form.cv22512,conjverb,conjugated verb: 3rd plural pluperfect subjunctive passive
urn:cite:morph:form.cv22520,conjverb,conjugated verb: 3rd plural pluperfect optative active
urn:cite:morph:form.cv22521,conjverb,conjugated verb: 3rd plural pluperfect optative middle
urn:cite:morph:form.cv22522,conjverb,conjugated verb: 3rd plural pluperfect optative passive
urn:cite:morph:form.cv22530,conjverb,conjugated verb: 3rd plural pluperfect imperative active
urn:cite:morph:form.cv22531,conjverb,conjugated verb: 3rd plural pluperfect imperative middle
urn:cite:morph:form.cv22532,conjverb,conjugated verb: 3rd plural pluperfect imperative passive
